animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A844656,*Tilly,2021-10-23T14:40:00.000,2021-10-23T14:40:00.000,2019-10-18T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Siberian Husky,Black/White,
A702915,Cash,2021-10-23T14:38:00.000,2021-10-23T14:38:00.000,2015-02-25T00:00:00.000,Adoption,Dog,Neutered Male,6 years,German Shepherd Mix,Red/White,
A842700,A842700,2021-10-23T14:33:00.000,2021-10-23T14:33:00.000,2021-07-08T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby/White,
A843699,Molly,2021-10-23T14:21:00.000,2021-10-23T14:21:00.000,2020-11-05T00:00:00.000,Transfer,Dog,Intact Female,11 months,Labrador Retriever Mix,Black/Tan,Partner
A844713,*Selena,2021-10-23T14:20:00.000,2021-10-23T14:20:00.000,2021-08-12T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Black,
A844668,*Meowdy,2021-10-23T14:04:00.000,2021-10-23T14:04:00.000,2021-07-12T00:00:00.000,Adoption,Cat,Intact Male,3 months,Domestic Medium Hair Mix,Orange Tabby,
A844669,*Loudy,2021-10-23T14:04:00.000,2021-10-23T14:04:00.000,2021-07-12T00:00:00.000,Adoption,Cat,Intact Female,3 months,Domestic Medium Hair Mix,Calico,
A844236,Luna,2021-10-23T14:03:00.000,2021-10-23T14:03:00.000,2014-10-13T00:00:00.000,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Cream,
A837154,*Howie,2021-10-23T13:59:00.000,2021-10-23T13:59:00.000,2021-05-03T00:00:00.000,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair,Black/White,Foster
A836372,*Merlin,2021-10-23T13:56:00.000,2021-10-23T13:56:00.000,2021-04-09T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair,Orange Tabby,Foster
A842283,*Smudge,2021-10-23T13:21:00.000,2021-10-23T13:21:00.000,2019-09-13T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Tricolor/Red,
A724558,*Wobbles,2021-10-23T13:17:00.000,2021-10-23T13:17:00.000,2016-02-19T00:00:00.000,Adoption,Dog,Neutered Male,5 years,Pit Bull Mix,White/Red,
A839859,*Yeti,2021-10-23T12:24:00.000,2021-10-23T12:24:00.000,2011-07-28T00:00:00.000,Adoption,Cat,Neutered Male,10 years,Domestic Longhair,Cream Tabby/White,Foster
A842351,*Pecan,2021-10-23T12:20:00.000,2021-10-23T12:20:00.000,2021-08-11T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,Foster
A843144,*Cocoa Puff,2021-10-23T12:17:00.000,2021-10-23T12:17:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby,Foster
A843142,*Apple Jack,2021-10-23T12:14:00.000,2021-10-23T12:14:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby,Foster
A843141,*Cheerio,2021-10-23T12:12:00.000,2021-10-23T12:12:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby,Foster
A833730,Carmelo,2021-10-23T12:10:00.000,2021-10-23T12:10:00.000,2019-05-04T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Pit Bull,Red,Offsite
A843139,*Lucky Charm,2021-10-23T12:10:00.000,2021-10-23T12:10:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Torbie,Foster
A843143,*Mini Wheat,2021-10-23T12:08:00.000,2021-10-23T12:08:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Torbie,Foster
A844688,A844688,2021-10-23T12:07:00.000,2021-10-23T12:07:00.000,2019-10-16T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Pit Bull,Blue,
A843140,*Kashi,2021-10-23T12:06:00.000,2021-10-23T12:06:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby,Foster
A841188,*Lima,2021-10-23T12:04:00.000,2021-10-23T12:04:00.000,2021-07-20T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby,Foster
A842401,*Ken,2021-10-23T12:01:00.000,2021-10-23T12:01:00.000,2021-08-06T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black,Foster
A844561,*Ninja,2021-10-23T11:59:00.000,2021-10-23T11:59:00.000,2021-04-17T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair,Black,
A842915,Sammy,2021-10-23T11:24:00.000,2021-10-23T11:24:00.000,2021-07-01T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,
A844747,Jack,2021-10-22T18:51:00.000,2021-10-22T18:51:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Lynx Point,
A843712,*Benji,2021-10-22T18:48:00.000,2021-10-22T18:48:00.000,2021-08-24T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair,Blue/White,
A842923,*Booberry,2021-10-22T18:42:00.000,2021-10-22T18:42:00.000,2021-08-23T00:00:00.000,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Tortie,Foster
A844307,A844307,2021-10-22T17:45:00.000,2021-10-22T17:45:00.000,2021-04-14T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair,Brown Tabby,
A844667,A844667,2021-10-22T17:43:00.000,2021-10-22T17:43:00.000,2021-07-12T00:00:00.000,Adoption,Cat,Intact Male,3 months,Domestic Medium Hair Mix,Orange Tabby,
A844709,Honey,2021-10-22T17:17:00.000,2021-10-22T17:17:00.000,2021-01-19T00:00:00.000,Adoption,Dog,Spayed Female,9 months,Chihuahua Shorthair Mix,Tan,
A844930,Bob,2021-10-22T16:45:00.000,2021-10-22T16:45:00.000,2015-04-22T00:00:00.000,Return to Owner,Dog,Neutered Male,6 years,Newfoundland Mix,Black/White,
A844653,A844653,2021-10-22T16:44:00.000,2021-10-22T16:44:00.000,2021-08-04T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,
A844509,A844509,2021-10-22T16:27:00.000,2021-10-22T16:27:00.000,2020-10-16T00:00:00.000,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair,Black,
A826335,Lucius,2021-10-22T16:16:00.000,2021-10-22T16:16:00.000,2020-06-24T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Smooth Fox Terrier,White/Tan,
A844601,Diamond,2021-10-22T16:15:00.000,2021-10-22T16:15:00.000,2019-10-18T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair,Calico,
A844911,,2021-10-22T16:11:00.000,2021-10-22T16:11:00.000,2021-09-22T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby,Partner
A843247,*Sarabi,2021-10-22T16:11:00.000,2021-10-22T16:11:00.000,2021-08-18T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,
A844910,,2021-10-22T16:10:00.000,2021-10-22T16:10:00.000,2021-09-22T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby,Partner
A844908,,2021-10-22T16:10:00.000,2021-10-22T16:10:00.000,2021-09-22T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Orange Tabby,Partner
A844909,,2021-10-22T16:10:00.000,2021-10-22T16:10:00.000,2021-09-22T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Orange Tabby,Partner
A844907,,2021-10-22T16:09:00.000,2021-10-22T16:09:00.000,2021-09-22T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Orange Tabby/White,Partner
A844602,Polo,2021-10-22T15:32:00.000,2021-10-22T15:32:00.000,2021-03-22T00:00:00.000,Return to Owner,Cat,Neutered Male,7 months,Domestic Shorthair,Blue/White,
A844604,Cheeto,2021-10-22T15:32:00.000,2021-10-22T15:32:00.000,2021-03-22T00:00:00.000,Return to Owner,Cat,Neutered Male,7 months,Domestic Shorthair,Cream Tabby,
A769826,Blondie,2021-10-22T15:31:00.000,2021-10-22T15:31:00.000,2017-06-10T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Labrador Retriever Mix,Tan/White,
A844611,,2021-10-22T15:00:00.000,2021-10-22T15:00:00.000,2021-09-03T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White,Partner
A717242,Shady,2021-10-22T14:38:00.000,2021-10-22T14:38:00.000,2005-12-04T00:00:00.000,Return to Owner,Dog,Spayed Female,15 years,Chihuahua Longhair Mix,Black,
A843745,*Minnie Winnie,2021-10-22T14:36:00.000,2021-10-22T14:36:00.000,2020-10-05T00:00:00.000,Transfer,Dog,Spayed Female,1 year,Pit Bull/Catahoula,Brown Merle/White,Partner
A843534,*Puck,2021-10-22T14:36:00.000,2021-10-22T14:36:00.000,2019-04-02T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown,Partner
A843719,*Charlie,2021-10-22T14:32:00.000,2021-10-22T14:32:00.000,2019-10-05T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Beagle/Pug,Red/White,Partner
A738412,*Bennigan,2021-10-22T14:31:00.000,2021-10-22T14:31:00.000,2016-08-21T00:00:00.000,Transfer,Dog,Spayed Female,5 years,Border Collie Mix,Black/White,Partner
A844590,,2021-10-22T14:25:00.000,2021-10-22T14:25:00.000,2013-10-18T00:00:00.000,Transfer,Dog,Neutered Male,8 years,Chihuahua Longhair,Red,Partner
A844179,*Eddie,2021-10-22T14:08:00.000,2021-10-22T14:08:00.000,2019-04-13T00:00:00.000,Transfer,Dog,Intact Male,2 years,Boxer,Brown/White,Partner
A844649,A844649,2021-10-22T13:57:00.000,2021-10-22T13:57:00.000,2019-10-18T00:00:00.000,Transfer,Dog,Intact Female,2 years,Cavalier Span Mix,Red/White,Partner
A843358,*Bobby,2021-10-22T13:37:00.000,2021-10-22T13:37:00.000,2021-08-05T00:00:00.000,Transfer,Cat,Intact Male,2 months,Domestic Shorthair,Black,Partner
A844719,Sugarbear,2021-10-22T13:36:00.000,2021-10-22T13:36:00.000,2021-02-19T00:00:00.000,Transfer,Cat,Neutered Male,8 months,Domestic Shorthair,Seal Point,Partner
A844068,Sam,2021-10-22T13:36:00.000,2021-10-22T13:36:00.000,2021-05-27T00:00:00.000,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,Partner
A842846,Miss Sunshine,2021-10-22T13:35:00.000,2021-10-22T13:35:00.000,2018-09-22T00:00:00.000,Transfer,Cat,Spayed Female,3 years,Domestic Shorthair,Orange Tabby/White,Partner
A844404,*Huey,2021-10-22T13:34:00.000,2021-10-22T13:34:00.000,2021-08-15T00:00:00.000,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,Partner
A844403,*Louie,2021-10-22T13:34:00.000,2021-10-22T13:34:00.000,2021-08-15T00:00:00.000,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,Partner
A844398,*Dewey,2021-10-22T13:33:00.000,2021-10-22T13:33:00.000,2021-08-15T00:00:00.000,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Orange Tabby,Partner
A844098,*Hugo,2021-10-22T13:32:00.000,2021-10-22T13:32:00.000,2019-10-12T00:00:00.000,Transfer,Dog,Intact Male,2 years,Pit Bull,Tan,Partner
A844550,Black Cherry,2021-10-22T13:32:00.000,2021-10-22T13:32:00.000,2019-10-17T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Pit Bull Mix,White/Tan,
A844849,Wiki,2021-10-22T12:56:00.000,2021-10-22T12:56:00.000,2018-10-21T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown,
A843501,*Posh,2021-10-22T12:39:00.000,2021-10-22T12:39:00.000,2020-04-02T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Pointer/Siberian Husky,White/Black,
A844467,*Doodle,2021-10-22T12:10:00.000,2021-10-22T12:10:00.000,2016-10-16T00:00:00.000,Transfer,Dog,Intact Female,5 years,Dachshund/Chihuahua Shorthair,Brown,Out State
A844406,*Addie,2021-10-22T12:10:00.000,2021-10-22T12:10:00.000,2020-10-15T00:00:00.000,Transfer,Dog,Intact Female,1 year,Cairn Terrier,Black/Red,Out State
A844533,*Darcy,2021-10-22T12:09:00.000,2021-10-22T12:09:00.000,2021-07-16T00:00:00.000,Transfer,Dog,Intact Female,3 months,Chihuahua Shorthair,Tan,Out State
A844285,*Hula,2021-10-22T12:09:00.000,2021-10-22T12:09:00.000,2016-10-14T00:00:00.000,Transfer,Dog,Intact Male,5 years,Chihuahua Shorthair,Brown,Out State
A837930,Robby,2021-10-22T12:08:00.000,2021-10-22T12:08:00.000,2020-10-30T00:00:00.000,Transfer,Dog,Intact Male,11 months,Greyhound Mix,White/Black,Out State
A836048,*Erza,2021-10-22T12:08:00.000,2021-10-22T12:08:00.000,2017-06-04T00:00:00.000,Transfer,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black/White,Out State
A843527,*Shoelace,2021-10-22T12:07:00.000,2021-10-22T12:07:00.000,2009-10-02T00:00:00.000,Transfer,Dog,Neutered Male,12 years,Labrador Retriever,Black,Out State
A836858,*Paulie,2021-10-22T12:07:00.000,2021-10-22T12:07:00.000,2019-06-15T00:00:00.000,Transfer,Dog,Neutered Male,2 years,American Bulldog,Red/White,Out State
A841345,Zoe,2021-10-22T12:06:00.000,2021-10-22T12:06:00.000,2019-08-26T00:00:00.000,Transfer,Dog,Intact Female,2 years,German Shepherd,Black/Brown,Out State
A843815,Apollo,2021-10-22T12:06:00.000,2021-10-22T12:06:00.000,2020-10-06T00:00:00.000,Transfer,Dog,Intact Male,1 year,Great Pyrenees Mix,White,Out State
A844027,Dj,2021-10-22T12:05:00.000,2021-10-22T12:05:00.000,2011-10-11T00:00:00.000,Transfer,Dog,Spayed Female,10 years,Beagle Mix,Tan/White,Out State
A844026,Tiger,2021-10-22T12:05:00.000,2021-10-22T12:05:00.000,2011-10-11T00:00:00.000,Transfer,Dog,Neutered Male,10 years,Beagle Mix,Brown Brindle/White,Out State
A844036,*Ash,2021-10-22T12:05:00.000,2021-10-22T12:05:00.000,2021-07-21T00:00:00.000,Transfer,Dog,Intact Male,3 months,Labrador Retriever Mix,Yellow/White,Out State
A844034,*Cinder,2021-10-22T12:04:00.000,2021-10-22T12:04:00.000,2021-07-21T00:00:00.000,Transfer,Dog,Intact Male,3 months,Labrador Retriever Mix,Yellow/White,Out State
A844079,*Mcnugget,2021-10-22T12:04:00.000,2021-10-22T12:04:00.000,2019-10-11T00:00:00.000,Transfer,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown/White,Out State
A843485,*Jeeves,2021-10-22T11:56:00.000,2021-10-22T11:56:00.000,2019-10-01T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Chihuahua Shorthair/Boston Terrier,Brown/White,Out State
A843819,*Noodles,2021-10-22T11:51:00.000,2021-10-22T11:51:00.000,2014-10-07T00:00:00.000,Transfer,Dog,Intact Male,7 years,Chihuahua Shorthair,Brown,Out State
A844378,A844378,2021-10-22T11:12:00.000,2021-10-22T11:12:00.000,2021-07-15T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,
A844843,,2021-10-22T11:00:00.000,2021-10-22T11:00:00.000,2012-10-21T00:00:00.000,Transfer,Dog,Intact Male,9 years,Pit Bull,Tan/White,Partner
A842393,*Shawn,2021-10-21T19:03:00.000,2021-10-21T19:03:00.000,2021-08-20T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White,Foster
A842391,*Topanga,2021-10-21T19:03:00.000,2021-10-21T19:03:00.000,2021-08-20T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Black,Foster
A842392,*Cory,2021-10-21T19:03:00.000,2021-10-21T19:03:00.000,2021-08-20T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White,Foster
A844726,Shadow,2021-10-21T18:53:00.000,2021-10-21T18:53:00.000,2021-02-19T00:00:00.000,Return to Owner,Dog,Intact Male,8 months,Labrador Retriever,Black,
A801138,Angel,2021-10-21T18:44:00.000,2021-10-21T18:44:00.000,2017-07-31T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,American Pit Bull Terrier,Blue/White,
A841958,*Paris,2021-10-21T18:39:00.000,2021-10-21T18:39:00.000,2021-03-07T00:00:00.000,Adoption,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby,
A844632,A844632,2021-10-21T18:12:00.000,2021-10-21T18:12:00.000,2021-08-18T00:00:00.000,Died,Cat,Intact Female,2 months,Domestic Shorthair,Brown Tabby/White,In Kennel
A844411,A844411,2021-10-21T17:40:00.000,2021-10-21T17:40:00.000,2021-01-15T00:00:00.000,Adoption,Dog,Spayed Female,9 months,Australian Kelpie/Beagle,Black/White,
A842289,*Cheddar,2021-10-21T17:35:00.000,2021-10-21T17:35:00.000,2021-08-07T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White,
A843500,*Sarafina,2021-10-21T17:27:00.000,2021-10-21T17:27:00.000,2021-08-17T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie,
A754522,Jeely Bean,2021-10-21T17:26:00.000,2021-10-21T17:26:00.000,2013-11-21T00:00:00.000,Transfer,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tan,Partner
A844060,Lucy,2021-10-21T17:21:00.000,2021-10-21T17:21:00.000,2020-10-11T00:00:00.000,Adoption,Dog,Spayed Female,1 year,German Shepherd,Tan/Black,
A844835,Precious,2021-10-21T17:15:00.000,2021-10-21T17:15:00.000,2019-10-21T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Pit Bull,Blue/White,
A844447,,2021-10-21T17:00:00.000,2021-10-21T17:00:00.000,2021-05-16T00:00:00.000,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair,White/Brown Tabby,
A844456,A844456,2021-10-21T16:55:00.000,2021-10-21T16:55:00.000,2021-08-01T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Chocolate,
A842291,*Feta,2021-10-21T16:54:00.000,2021-10-21T16:54:00.000,2021-08-07T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White,
A844181,*Little Beans,2021-10-21T16:37:00.000,2021-10-21T16:37:00.000,2021-02-13T00:00:00.000,Adoption,Dog,Spayed Female,8 months,Labrador Retriever Mix,White,
A844820,Mia,2021-10-21T16:13:00.000,2021-10-21T16:13:00.000,2009-10-20T00:00:00.000,Return to Owner,Dog,Neutered Male,12 years,Tibetan Spaniel Mix,Black/Brown,
A844810,Rocky,2021-10-21T15:47:00.000,2021-10-21T15:47:00.000,2020-10-20T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Pit Bull Mix,White/Tan,
A831972,*Kiki,2021-10-21T15:29:00.000,2021-10-21T15:29:00.000,2021-04-03T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair,Orange Tabby,Foster
A837564,A837564,2021-10-21T14:53:00.000,2021-10-21T14:53:00.000,2021-04-24T00:00:00.000,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico,Foster
A844063,*Ozzie,2021-10-21T13:31:00.000,2021-10-21T13:31:00.000,2019-10-11T00:00:00.000,Adoption,Other,Intact Female,2 years,Rabbit Sh,Black,
A844430,A844430,2021-10-21T13:06:00.000,2021-10-21T13:06:00.000,2021-06-30T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Pit Bull Mix,Tan,
A844624,A844624,2021-10-21T12:06:00.000,2021-10-21T12:06:00.000,2021-06-11T00:00:00.000,Transfer,Cat,Intact Male,4 months,Domestic Shorthair,Brown Tabby/White,Partner
A844556,A844556,2021-10-21T12:05:00.000,2021-10-21T12:05:00.000,2019-10-17T00:00:00.000,Transfer,Dog,Intact Female,2 years,Shih Tzu Mix,Black/White,Partner
A844824,A844824,2021-10-21T11:38:00.000,2021-10-21T11:38:00.000,2021-09-18T00:00:00.000,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair,Black/Black,Partner
A844796,,2021-10-21T11:37:00.000,2021-10-21T11:37:00.000,2019-10-20T00:00:00.000,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair,Black/White,Partner
A844496,A844496,2021-10-21T10:01:00.000,2021-10-21T10:01:00.000,2019-10-16T00:00:00.000,Euthanasia,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby,Rabies Risk
A844814,,2021-10-21T09:19:00.000,2021-10-21T09:19:00.000,2021-07-20T00:00:00.000,Disposal,Dog,Unknown,3 months,Siberian Husky Mix,Black/White,
A844662,,2021-10-21T00:00:00.000,2021-10-21T00:00:00.000,2019-10-18T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby/White,Snr
A844725,,2021-10-21T00:00:00.000,2021-10-21T00:00:00.000,2019-10-19T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby,Snr
A844705,,2021-10-21T00:00:00.000,2021-10-21T00:00:00.000,2021-01-19T00:00:00.000,Transfer,Cat,Intact Female,9 months,Siamese,Lynx Point,Snr
A844191,,2021-10-21T00:00:00.000,2021-10-21T00:00:00.000,2019-10-13T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Blue,Snr
A844711,Tiny,2021-10-20T19:07:00.000,2021-10-20T19:07:00.000,2019-10-16T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Brown/White,
A844426,A844426,2021-10-20T19:06:00.000,2021-10-20T19:06:00.000,2019-10-15T00:00:00.000,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie,
A843418,Cookie,2021-10-20T19:02:00.000,2021-10-20T19:02:00.000,2019-12-30T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Pit Bull/Labrador Retriever,Brown Brindle/White,
A844350,*Ella,2021-10-20T18:51:00.000,2021-10-20T18:51:00.000,2021-04-15T00:00:00.000,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair,Brown Tabby,
A844818,Smokey,2021-10-20T18:40:00.000,2021-10-20T18:40:00.000,2019-10-20T00:00:00.000,Return to Owner,Cat,Intact Male,2 years,Domestic Shorthair,Gray Tabby,
A844004,*Lestat,2021-10-20T18:39:00.000,2021-10-20T18:39:00.000,2020-05-10T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Siberian Husky,Black/White,
A844420,Autumn,2021-10-20T18:17:00.000,2021-10-20T18:17:00.000,2020-10-15T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie/White,
A844091,Mia,2021-10-20T18:14:00.000,2021-10-20T18:14:00.000,2021-08-27T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown/Black,
A844021,*Ulysses,2021-10-20T18:13:00.000,2021-10-20T18:13:00.000,2019-10-11T00:00:00.000,Adoption,Dog,Intact Male,2 years,Pit Bull,Blue/White,
A843114,A843114,2021-10-20T18:02:00.000,2021-10-20T18:02:00.000,2019-09-27T00:00:00.000,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie,Partner
A844415,A844415,2021-10-20T18:01:00.000,2021-10-20T18:01:00.000,2021-07-31T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Silver Tabby,
A844416,A844416,2021-10-20T18:01:00.000,2021-10-20T18:01:00.000,2021-07-31T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,
A843725,A843725,2021-10-20T17:57:00.000,2021-10-20T17:57:00.000,2019-10-05T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair,Blue Tabby/White,Partner
A844128,,2021-10-20T17:46:00.000,2021-10-20T17:46:00.000,2021-09-02T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Longhair,Black,
A844095,A844095,2021-10-20T17:39:00.000,2021-10-20T17:39:00.000,2021-08-27T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White,
A844672,Rj,2021-10-20T17:37:00.000,2021-10-20T17:37:00.000,2021-06-17T00:00:00.000,Adoption,Dog,Neutered Male,4 months,Pit Bull Mix,Chocolate/White,
A844671,Bj,2021-10-20T17:37:00.000,2021-10-20T17:37:00.000,2021-06-17T00:00:00.000,Adoption,Dog,Neutered Male,4 months,Pit Bull Mix,Chocolate/White,
A844804,,2021-10-20T17:01:00.000,2021-10-20T17:01:00.000,2019-10-20T00:00:00.000,Euthanasia,Other,Unknown,NULL,Bat,Brown,Rabies Risk
A844214,,2021-10-20T16:59:00.000,2021-10-20T16:59:00.000,2020-10-13T00:00:00.000,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair,Orange Tabby/White,
A844092,A844092,2021-10-20T16:34:00.000,2021-10-20T16:34:00.000,2021-08-27T00:00:00.000,Adoption,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black,
A844260,Cookie,2021-10-20T16:28:00.000,2021-10-20T16:28:00.000,2013-10-14T00:00:00.000,Adoption,Dog,Spayed Female,8 years,Chihuahua Shorthair,Tan,
A844259,Brownie,2021-10-20T16:27:00.000,2021-10-20T16:27:00.000,2012-10-14T00:00:00.000,Adoption,Dog,Neutered Male,9 years,Chihuahua Shorthair,Brown/Tan,
A844365,Fritz,2021-10-20T16:15:00.000,2021-10-20T16:15:00.000,2020-10-15T00:00:00.000,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair,Blue/White,
A844166,Cleetus,2021-10-20T16:06:00.000,2021-10-20T16:06:00.000,2021-07-29T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever/Black Mouth Cur,Brown/Black,
A844093,A844093,2021-10-20T15:52:00.000,2021-10-20T15:52:00.000,2021-08-27T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown/White,
A723735,Zoey,2021-10-20T15:32:00.000,2021-10-20T15:32:00.000,2015-11-20T00:00:00.000,Return to Owner,Dog,Spayed Female,5 years,Pointer Mix,Black/White,
A842104,*Rosie,2021-10-20T15:23:00.000,2021-10-20T15:23:00.000,2021-07-29T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,Foster
A839403,A839403,2021-10-20T15:20:00.000,2021-10-20T15:20:00.000,2021-06-29T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Snowshoe Mix,Lynx Point,Foster
A842350,*Almond,2021-10-20T15:18:00.000,2021-10-20T15:18:00.000,2021-08-11T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Blue Tabby,Foster
A842044,*Tamale,2021-10-20T15:16:00.000,2021-10-20T15:16:00.000,2021-07-27T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White,Foster
A844742,A844742,2021-10-20T15:15:00.000,2021-10-20T15:15:00.000,2021-09-29T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby/White,Partner
